engine,freq_min,regime,spread_bps,n_sessions,n_pairs,n_trades,window_bars_p50,window_bars_min,window_bars_max,gross_total_pct,net_total_pct,gross_ann_pct,net_ann_pct,gross_sharpe,net_sharpe,net_max_drawdown_pct,avg_bars_held,exit_mean_revert,exit_stop,exit_time,exit_session_close,exit_fold_boundary
rolling_z,5,A,1,1416,14,2635,375,375,375,19.28716052936425,-45.96965537541837,3.1884484381776037,-10.377185061917434,0.298348493669791,-1.0089347550074728,-50.55361377427119,28.344971537001896,348,749,0,1538,0
rolling_z,5,A,3,1416,14,2635,375,375,375,19.28716052936425,-59.48994415364951,3.1884484381776037,-14.85493353919345,0.298348493669791,-1.4588278374090395,-62.44770096157164,28.344971537001896,348,749,0,1538,0
rolling_z,5,A,5,1416,14,2635,375,375,375,19.28716052936425,-69.62698209539433,3.1884484381776037,-19.108964077687943,0.298348493669791,-1.8920146273171414,-71.48072345198449,28.344971537001896,348,749,0,1538,0
rolling_z,5,A,8,1416,14,2635,375,375,375,19.28716052936425,-80.28142155295463,3.1884484381776037,-25.09483590301184,0.298348493669791,-2.5076852185676586,-81.12480420598322,28.344971537001896,348,749,0,1538,0
rolling_z,5,B,1,1416,14,1930,375,375,375,141.6510138381974,36.45035867295743,17.00235014088777,5.686841233907987,0.9419002233276302,0.33046122683382534,-22.997324788961496,80.47357512953369,1143,778,0,0,9
rolling_z,5,B,3,1416,14,1930,375,375,375,141.6510138381974,10.8447343930779,17.00235014088777,1.849233793213743,0.9419002233276302,0.10916444122604232,-26.98298878520127,80.47357512953369,1143,778,0,0,9
rolling_z,5,B,5,1416,14,1930,375,375,375,141.6510138381974,-9.95586041572662,17.00235014088777,-1.8490258280459957,0.9419002233276302,-0.1107906725820326,-37.826633407045136,80.47357512953369,1143,778,0,0,9
rolling_z,5,B,8,1416,14,1930,375,375,375,141.6510138381974,-34.07258754117755,17.00235014088777,-7.1461561528348625,0.9419002233276302,-0.43718203394281485,-51.148839771628296,80.47357512953369,1143,778,0,0,9
rolling_z,15,A,1,1416,14,1264,125,125,125,8.898532242026683,-28.25070379153517,1.5286626642325505,-5.7371799358444235,0.23303305381737532,-0.8990077204594119,-30.698149062653012,6.350474683544304,61,79,0,1124,0
rolling_z,15,A,3,1416,14,1264,125,125,125,8.898532242026683,-38.35112677354623,1.5286626642325505,-8.248368246685814,0.23303305381737532,-1.3021657438561582,-40.17643966406128,6.350474683544304,61,79,0,1124,0
rolling_z,15,A,5,1416,14,1264,125,125,125,8.898532242026683,-47.02967456225745,1.5286626642325505,-10.692657787384162,0.23303305381737532,-1.6984422230793135,-48.35840135780497,6.350474683544304,61,79,0,1124,0
rolling_z,15,A,8,1416,14,1264,125,125,125,8.898532242026683,-57.811519087375714,1.5286626642325505,-14.237542454639835,0.23303305381737532,-2.2771420270812417,-58.58183908971155,6.350474683544304,61,79,0,1124,0
rolling_z,15,B,1,1416,14,895,125,125,125,81.96691903474604,35.58354536663358,11.242269717831846,5.567044231443741,0.6914512029715383,0.35631819850298585,-28.381716027185604,53.66703910614525,805,81,0,0,9
rolling_z,15,B,3,1416,14,895,125,125,125,81.96691903474604,21.825877312323744,11.242269717831846,3.5759041378909666,0.6914512029715383,0.2321411294351351,-31.79509975572733,53.66703910614525,805,81,0,0,9
rolling_z,15,B,5,1416,14,895,125,125,125,81.96691903474604,9.464200414468442,11.242269717831846,1.6223196934616126,0.6914512029715383,0.10680160537371307,-35.531475758111796,53.66703910614525,805,81,0,0,9
rolling_z,15,B,8,1416,14,895,125,125,125,81.96691903474604,-6.766722546033306,11.242269717831846,-1.2391859894821344,0.6914512029715383,-0.08327996617118623,-41.38861508205109,53.66703910614525,805,81,0,0,9
