engine,freq_min,regime,spread_bps,fold_id,pair,side,entry_ts,exit_ts,z_entry,z_exit,bars_held,sessions_held,gross_log_pnl,cost_log,net_log_pnl,exit_reason,pair_beta,cost_log_per_pair_rt,n_legs,schema_version
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-09T08:30:00,2015-02-09T09:40:00,2.0231419983813654,3.512654426771136,14,0,-0.023052122524082286,0.0013304434916480074,-0.024382566015730293,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-09T09:45:00,2015-02-09T09:55:00,3.357488060993418,3.194496558422686,2,0,0.0008713248448710686,0.0013304434916480074,-0.00045911864677693876,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-10T05:00:00,2015-02-10T09:55:00,2.324443535723014,0.7931715750149424,59,0,0.015544501862842175,0.0013304434916480074,0.014214058371194167,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-12T05:00:00,2015-02-12T09:55:00,2.234442171824426,0.2827327121113399,59,0,0.024607818267555537,0.0013304434916480074,0.02327737477590753,mean_revert,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T05:00:00,2015-02-13T06:30:00,-2.5300055189154396,-3.8336577340168754,18,0,-0.02971886473071006,0.0013304434916480074,-0.031049308222358067,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T06:35:00,2015-02-13T06:40:00,-4.229520254205471,-3.7571983856376905,1,0,0.007630033695387617,0.0013304434916480074,0.006299590203739609,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T06:45:00,2015-02-13T06:55:00,-3.719901140961043,-3.639694282659833,2,0,8.333460927190117e-05,0.0013304434916480074,-0.0012471088823761062,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T07:00:00,2015-02-13T07:10:00,-3.317226832207425,-3.647035377134217,2,0,-0.009288398034263956,0.0013304434916480074,-0.010618841525911964,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T07:15:00,2015-02-13T07:45:00,-3.2455108353362534,-3.5581856725150174,6,0,-0.013929457090459785,0.0013304434916480074,-0.015259900582107792,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T07:50:00,2015-02-13T09:30:00,-3.308534525188176,-3.553573855196243,20,0,-0.037961205113053786,0.0013304434916480074,-0.039291648604701794,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-13T09:35:00,2015-02-13T09:55:00,-3.4741982956802566,-3.3517982783192832,4,0,-0.003980218775116562,0.0013304434916480074,-0.0053106622667645695,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-02-16T05:00:00,2015-02-16T09:55:00,-2.7036205111217946,-1.2666702344556233,59,0,0.029952256624460993,0.0013304434916480074,0.028621813132812986,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-23T09:50:00,2015-02-23T09:55:00,2.0551182831795107,2.33900424086977,1,0,-0.0034432761416480773,0.0013304434916480074,-0.004773719633296085,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-24T05:00:00,2015-02-24T07:55:00,2.4467476472526877,0.42338993267168606,35,0,0.01873968158818151,0.0013304434916480074,0.017409238096533504,mean_revert,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-26T05:00:00,2015-02-26T05:05:00,3.621071513667503,3.523371317121757,1,0,0.00033431987606302727,0.0013304434916480074,-0.0009961236155849801,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-26T05:10:00,2015-02-26T07:10:00,3.5667280359102946,3.5118899032584725,24,0,-0.013929644061352775,0.0013304434916480074,-0.015260087553000783,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-26T07:15:00,2015-02-26T09:55:00,3.247817124126725,2.8940620632324774,32,0,-0.015435915280477275,0.0013304434916480074,-0.016766358772125282,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-02-27T05:00:00,2015-02-27T09:55:00,2.183987691652291,1.7616561914365143,59,0,-0.006078021843162418,0.0013304434916480074,-0.007408465334810425,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-02T05:00:00,2015-03-02T09:55:00,2.134016935702991,2.073076248861537,59,0,-0.02052051360308127,0.0013304434916480074,-0.021850957094729277,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-20T07:40:00,2015-03-20T07:50:00,2.0487650851221737,3.7625230533117286,2,0,-0.016521609605281817,0.0013304434916480074,-0.017852053096929825,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-20T07:55:00,2015-03-20T09:55:00,3.361580802360387,1.260914345017221,24,0,0.01690206682547757,0.0013304434916480074,0.015571623333829561,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-23T09:35:00,2015-03-23T09:55:00,2.1973868891269897,2.7295469280100706,4,0,-0.006236285427889676,0.0013304434916480074,-0.007566728919537684,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-24T05:00:00,2015-03-24T05:05:00,3.8965101115152967,3.970236941489231,1,0,-0.0020844486548634578,0.0013304434916480074,-0.0034148921465114654,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-24T05:10:00,2015-03-24T05:15:00,4.049179924924854,3.978313773361351,1,0,-0.0003144925187408276,0.0013304434916480074,-0.001644936010388835,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-24T05:20:00,2015-03-24T05:25:00,3.6758417178796177,3.84427974123159,1,0,-0.0034335922282213716,0.0013304434916480074,-0.004764035719869379,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-24T05:30:00,2015-03-24T05:35:00,3.9214976821309375,3.850024331280371,1,0,-0.00016600062096649992,0.0013304434916480074,-0.0014964441126145073,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-24T05:40:00,2015-03-24T09:55:00,3.720096355436554,1.8784396041409614,51,0,0.0029596923009593823,0.0013304434916480074,0.0016292488093113749,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-25T07:25:00,2015-03-25T09:55:00,2.2553460683049917,2.086092874722516,30,0,-0.009907397715712918,0.0013304434916480074,-0.011237841207360925,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-03-26T05:05:00,2015-03-26T09:55:00,2.142523824441748,1.3933455370803196,58,0,0.010068046206357373,0.0013304434916480074,0.008737602714709365,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-04-15T05:05:00,2015-04-15T09:55:00,-2.02114410681762,-2.4577479932584945,58,0,-0.035901533496546456,0.0013304434916480074,-0.037231976988194464,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-04-16T05:00:00,2015-04-16T09:55:00,-2.226146887569205,-1.7000897458846886,59,0,-0.012610239657734112,0.0013304434916480074,-0.01394068314938212,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-22T07:45:00,2015-04-22T08:20:00,2.010661232792867,4.892507784330959,7,0,-0.03561866081583975,0.0013304434916480074,-0.03694910430748776,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-22T08:25:00,2015-04-22T08:30:00,4.472285005770314,4.261523328565395,1,0,0.0012403044844839783,0.0013304434916480074,-9.013900716402907e-05,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-22T08:35:00,2015-04-22T08:40:00,4.128566839649198,4.264376748516,1,0,-0.0031334221326133616,0.0013304434916480074,-0.004463865624261369,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-22T08:45:00,2015-04-22T09:55:00,4.075775766310456,2.264013500271195,14,0,0.019667735739642644,0.0013304434916480074,0.018337292247994637,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-23T05:00:00,2015-04-23T09:55:00,2.419934438331523,1.8825218526810616,59,0,-0.016550560286357374,0.0013304434916480074,-0.017881003778005382,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-04-27T06:40:00,2015-04-27T09:55:00,2.006145829453542,1.7861752998384888,39,0,-0.0055468756932421925,0.0013304434916480074,-0.0068773191848902,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-04-30T05:00:00,2015-04-30T08:20:00,-2.987752780574039,-0.36058006667626147,40,0,0.04529676734151611,0.0013304434916480074,0.0439663238498681,mean_revert,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-06T07:00:00,2015-05-06T09:55:00,2.04767140842087,1.6761570368340395,35,0,-0.0008500383469858264,0.0013304434916480074,-0.002180481838633834,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-11T05:15:00,2015-05-11T05:30:00,-2.2906852547998167,-3.620876579970267,3,0,-0.024130814285533653,0.0013304434916480074,-0.02546125777718166,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-11T05:35:00,2015-05-11T09:55:00,-3.409276813539113,-1.6321860508210229,52,0,0.016251588517361526,0.0013304434916480074,0.014921145025713518,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-15T05:00:00,2015-05-15T09:55:00,-2.869309042215948,-1.5891961398195238,59,0,-0.0038851681643974345,0.0013304434916480074,-0.005215611656045442,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-22T05:00:00,2015-05-22T07:00:00,-2.688006027195674,0.3213814135657005,24,0,0.026067225565923557,0.0013304434916480074,0.02473678207427555,mean_revert,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-22T07:40:00,2015-05-22T07:45:00,-2.773008186170721,-4.056741372329469,1,0,-0.013820064017370015,0.0013304434916480074,-0.015150507509018023,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,long_spread,2015-05-22T07:50:00,2015-05-22T08:00:00,-2.946959958247549,-0.04355168020846771,2,0,0.029936185724090514,0.0013304434916480074,0.028605742232442506,mean_revert,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-22T09:00:00,2015-05-22T09:25:00,2.2002478279834095,5.120141628816725,5,0,-0.0364112466085702,0.0013304434916480074,-0.03774169010021821,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-22T09:30:00,2015-05-22T09:35:00,5.178235884315087,4.665662649438613,1,0,0.004306312047831717,0.0013304434916480074,0.0029758685561837098,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-22T09:40:00,2015-05-22T09:45:00,4.566509270480567,4.444004389192389,1,0,-0.00011598509128329937,0.0013304434916480074,-0.0014464285829313068,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-22T09:50:00,2015-05-22T09:55:00,4.704575749791291,4.570074977659399,1,0,-0.0001067472963578453,0.0013304434916480074,-0.0014371907880058527,stop,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
rolling_z,5,A,1,2,PFC/SBIN,short_spread,2015-05-25T05:00:00,2015-05-25T09:55:00,2.9680405486838133,2.4629745201753743,59,0,-0.0382005209353089,0.0013304434916480074,-0.03953096442695691,session_close,1.4189881666327406,0.0013304434916480074,2,v2-cost-beta-2026.06.11
